City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
404,Doctor Arroyo,MX,23.67,-100.18,70,56,19,7.38,few clouds
405,Algeciras,ES,36.13,-5.45,78.48,78,100,8.05,overcast clouds
406,Krasnoarmeysk,RU,51.02,45.7,66.42,74,100,5.68,overcast clouds
407,Conchagua,SV,13.31,-87.86,77.09,74,88,2.89,overcast clouds
408,Cody,US,44.53,-109.06,80.82,30,0,5.99,clear sky
409,San Borja,BO,-14.82,-66.85,72.28,85,1,2.66,clear sky
410,Abonnema,NG,4.71,6.79,72.86,90,35,3.78,scattered clouds
411,Coihueco,CL,-36.62,-71.83,38.14,93,100,5.75,overcast clouds
412,Maragogi,BR,-9.01,-35.22,75.2,86,100,11.88,light rain
413,Corner Brook,CA,48.97,-57.95,64.56,85,100,3.51,overcast clouds
414,Bhojudih,IN,23.63,86.45,84.24,74,100,5.97,overcast clouds
415,Vanavara,RU,60.34,102.28,58.69,68,100,7.56,overcast clouds
416,Kirkwall,GB,58.98,-2.96,50.05,87,75,4.61,broken clouds
417,Kirensk,RU,57.79,108.11,60.49,55,96,5.5,overcast clouds
418,Kawalu,ID,-7.38,108.21,79.57,75,84,4.68,broken clouds
419,Dwarka,IN,22.24,68.97,82.35,76,100,9.55,overcast clouds
420,Bilibino,RU,68.05,166.44,55.22,96,100,2.8,light rain
421,San Quintin,MX,30.48,-115.95,70.27,84,72,12.66,broken clouds
422,Makubetsu,JP,45.37,141.82,76.71,73,75,8.05,broken clouds
423,Dingle,PH,11,122.67,83.75,77,100,3.4,light rain
424,Saint-Francois,FR,46.42,3.91,63.84,82,0,2.3,clear sky
425,Wilmington,US,34.23,-77.94,82.9,86,0,4.61,clear sky
426,El Alto,PE,-4.27,-81.21,62.11,87,97,13.42,overcast clouds
427,Belaya Gora,RU,68.53,146.42,49.95,71,100,10.13,overcast clouds
428,Puri,IN,19.8,85.85,86.52,79,100,4.85,light rain
429,Baturaja,ID,-4.13,104.17,80.94,81,94,0.63,overcast clouds
430,Ketchikan,US,55.34,-131.65,61.27,63,0,4.61,clear sky
431,Ifanadiana,MG,-21.3,47.63,60.44,99,100,1.16,light rain
432,Nalobikha,RU,53.2,84.6,64.49,44,0,5.91,clear sky
433,Koroni,GR,36.8,21.95,80.08,53,0,6.53,clear sky
434,Paris,FR,48.85,2.35,74.25,69,0,8.05,clear sky
435,Cayenne,GF,4.93,-52.33,82.09,1,75,0,broken clouds
436,Sao Miguel Do Araguaia,BR,-13.28,-50.16,73.96,33,0,4.36,clear sky
437,Harindanga,IN,22.04,88.32,86,69,100,7.4,light rain
438,Portland,US,45.52,-122.68,77.47,59,20,10,smoke
439,Sergeyevka,KZ,53.88,67.42,64.36,66,61,9.69,broken clouds
440,Bandundu,CD,-3.32,17.37,76.24,61,0,3.18,clear sky
441,West Bay,KY,19.37,-81.42,84.27,83,20,3.44,few clouds
442,Christchurch,NZ,-43.53,172.63,64.42,38,67,16.11,broken clouds
443,Southampton,GB,50.9,-1.4,63.81,76,44,1.01,scattered clouds
444,Nogales,MX,31.31,-110.94,80.17,57,20,0,few clouds
445,Korla,CN,41.76,86.15,89.1,22,7,2.26,clear sky
446,Santiago De Las Vegas,CU,22.97,-82.39,74.82,100,20,3.44,few clouds
447,Pangody,RU,65.85,74.49,69.87,45,26,8.55,scattered clouds
448,Okha,RU,53.57,142.95,61.65,86,98,12.37,overcast clouds
449,Pincher Creek,CA,49.48,-113.95,74.88,21,0,9.22,clear sky
450,Nanortalik,GL,60.14,-45.24,48.36,96,100,21.81,moderate rain
451,Ahipara,NZ,-35.17,173.17,61.99,77,21,3.96,few clouds
452,Marathon,US,44.9,-89.77,74.73,69,0,9.22,clear sky
453,Port Lincoln,AU,-34.73,135.87,55.96,81,48,32.82,scattered clouds
454,Shelburne,CA,44.08,-80.2,66.6,98,100,19.98,moderate rain
455,Nam Som,TH,17.77,102.19,85.3,77,99,3.13,overcast clouds
456,Solton,RU,52.84,86.48,62.89,55,0,6.22,clear sky
457,La Ronge,CA,55.1,-105.28,62.85,67,75,2.3,broken clouds
458,Longyearbyen,SJ,78.22,15.64,48.04,87,75,3.44,broken clouds
459,Tieling,CN,42.29,123.84,86.76,75,93,13.53,overcast clouds
460,Valley City,US,46.92,-98,63.12,82,0,3.44,clear sky
461,Otaru,JP,43.19,141,78.64,70,53,6.35,broken clouds
462,Aksarka,RU,66.56,67.8,67.77,47,85,9.71,overcast clouds
463,Mecca,SA,21.43,39.83,87.31,46,100,1.9,overcast clouds
464,Santa Rosa,PH,14.31,121.11,84.18,81,100,9.22,overcast clouds
465,Wakefield,GB,53.68,-1.5,60.64,85,100,7.47,overcast clouds
466,Yueyang,CN,29.33,113.09,96.03,48,0,5.55,clear sky
467,Puerto Rondon,CO,6.28,-71.1,68.94,96,44,3.96,scattered clouds
468,Seminole,US,28.71,-81.21,82.76,89,20,4.61,few clouds
469,Antofagasta,CL,-23.65,-70.4,54.68,73,4,9.51,clear sky
470,Bud,US,39.45,-86.18,78.46,83,51,6.6,broken clouds
471,Waterloo,CA,43.47,-80.52,68.74,99,100,5.75,moderate rain
472,Venado Tuerto,AR,-33.75,-61.97,48.76,79,100,7.96,moderate rain
473,Kenai,US,60.55,-151.26,70.03,72,0,9.22,clear sky
474,Batangafo,CF,7.3,18.28,67.78,98,77,2.24,light rain
475,Skjervoy,NO,70.03,20.97,60.8,85,21,7.63,few clouds
476,Ambagarh Chauki,IN,20.78,80.72,82.94,72,100,4.59,overcast clouds
477,Sayyan,YE,15.17,44.32,57.22,76,100,5.19,overcast clouds
478,Marseille,FR,43.33,5.5,75.85,63,3,1.9,clear sky
479,Frederick,US,39.47,-77.4,80.46,87,0,3.44,clear sky
480,Shiyan,CN,32.65,110.78,91.42,63,63,2.13,broken clouds
